pieza	bytes_fb	gemela_octeto	sha256_16
00	8765	SI	979255edac229235
01	18344	SI	1f25114a8ad7440b
02	16039	SI	12992475600a3db4
03	16112	SI	94ebbb3bb60bde8c
04	12030	SI	29db8c5a062ea857
05	15914	SI	d03bad8918e74b3c
06	15268	SI	db0af773ad130646
07	12359	SI	266fbdef10b634c8
08	14520	SI	d5f953dc46798095
09	12910	SI	9336e18b9eb5a4e1
10	12149	SI	11ef894fa96b2981
11	12052	SI	9557dd4efcd624f5
12	10843	SI	a9f21021af89546c
13	14468	SI	b3610a66bfa5cf10
14	10263	SI	4eddd8ed1c8ac219
15	17204	SI	44ebbf3dbe28cb44
16	18007	SI	1c3858764b163b84
17	10071	SI	6956895119c935a8
18	5557	SI	479a1f8235ad23dc
19	7241	SI	7d11d5edd2365378
20	4983	SI	d08e08640d5e380b
21	6019	SI	65ade585fba915d3
22	6022	SI	518ab7aa6a4c4f3b
23	7308	SI	e09d9f900bb7a5c8
24	7784	SI	2a4869b765647706
25	4844	SI	1aa73e99b94356d4
26	7847	SI	a495a609952b0aab
27	5690	SI	d5c849572157486e
28	8956	SI	f3081562a50e6cf8
29	7035	SI	72ac13558dfda041
30	6419	SI	ec8665102834b8ab
31	6189	SI	ae9e12010988ce40
32	6212	SI	420aabcd2f7d01ab
33	6895	SI	a65d316885bafd45
34	6631	SI	532869355ffb0c33
35	7211	SI	ebd48081382179be
36	6913	SI	5e063aca87c7db7f
37	7511	SI	a16d218253b69594
38	6749	SI	52d02f4db4ea7d9c
39	5154	SI	7c25000e101c4641
40	7273	SI	59792800740a9994
41	7134	SI	4f9fe312c32c67a6
42	7307	SI	d82ea5ca4835a908
43	7915	SI	75629be69da12976
44	6181	SI	0e21f1ed1a9c1231
45	7726	SI	ae4422496c002acf
46	4735	SI	24aec3840231e00e
47	6233	SI	b896c722c8e8f4bd
48	5882	SI	1211e02369a03df6
49	5941	SI	e762d6e60a88c2e6
50	6987	SI	88ef4fb92d381bf4
51	6602	SI	60ccbf8b1fecc33b
52	8468	SI	de5623b069c3a478
53	3455	SI	5393d1a0b55483c6
54	6109	SI	f7634a3a91eddc12
55	10789	SI	e020e64ffeea6840
56	10394	SI	3be6f0b63f3c178b
57	4031	SI	6877e50e27a0d919
58	3903	SI	e9e0a324b911ddf9
59	4328	SI	d7526a9ec1b7d173
60	3472	SI	d27ed5a2bbffd21e
61	4815	SI	5133367cb8dadc0e
62	1910	SI	325f7f42dbc27596
63	4089	SI	f030bf0c2cd7d467
64	4522	SI	598427d946640d99
65	5841	SI	f82d094e030b7d95
66	4136	SI	59cd17300e944249
67	4384	SI	15753905192eb739
68	4307	SI	fedef906dd1c8376
69	3231	SI	6055cfd598f9c3e4
70	2462	SI	ab635977c2511b86
71	2604	SI	6ff18f9775a8c45f
72	2690	SI	2884b8bb93cd5fd9
73	2921	SI	4301ad72c46cadcf
74	3961	SI	8d197adbc5a8b585
75	3961	SI	6819c1afb6651c06
76	3041	SI	238e267165b947e6
77	2682	SI	c876e2032420d641
78	10658	SI	32d143e6a2e5d4e5
79	2882	SI	c6f94cd2054727fc
